xa,xb,xc,ya,yb,yc,error
1,2,1.26316,-5,14,-1.60227,-1.60227
1.26316,2,1.33883,-1.60227,14,-0.430365,-0.430365
1.33883,2,1.35855,-0.430365,14,-0.110009,-0.110009
1.35855,2,1.36355,-0.110009,14,-0.0277621,-0.0277621
1.36355,2,1.36481,-0.0277621,14,-0.00698342,-0.00698342
1.36481,2,1.36512,-0.00698342,14,-0.00175521,-0.00175521
1.36512,2,1.3652,-0.00175521,14,-0.000441063,-0.000441063
1.3652,2,1.36522,-0.000441063,14,-0.000110828,-0.000110828
1.36522,2,1.36523,-0.000110828,14,-2.7848e-05,-2.7848e-05
1.36523,2,1.36523,-2.7848e-05,14,-6.99739e-06,-6.99739e-06
